#specObjID,spiral,elliptical,petroMag_u,petroMag_g,petroMag_r,z
300615576982677504,1,0,18.69239,17.57749,17.17256,0.04655848
300616126738491392,1,0,18.87079,17.28494,16.38403,0.09342866
300619975029188608,1,0,19.81003,18.16995,17.29423,0.08971721
300621074540816384,1,0,20.68885,18.50974,17.74399,0.08544684
300621349418723328,0,1,17.53974,15.83972,14.87148,0.087761
300623823319885824,1,0,19.79369,18.54619,17.65805,0.1668876
300624647953606656,0,1,19.17672,17.59762,16.42269,0.1391702
300624922831513600,1,0,20.08642,17.99567,17.08442,0.09193386
300625472587327488,1,0,17.76194,16.30993,15.44159,0.06580772
300629046000117760,1,0,20.08824,18.55042,17.75081,0.09160395
300631245023373312,1,0,18.89301,17.88796,17.49175,0.0891128
300632069657094144,1,0,19.92022,17.90665,16.90723,0.08851489
300632344535001088,1,0,20.39053,18.51471,17.59631,0.0887442
300632894290814976,1,0,20.12757,18.35601,17.43842,0.0908874
300633718924535808,1,0,18.09382,16.78251,16.22128,0.04578607
300636467703605248,1,0,23.38626,19.11221,17.88351,0.209054
300637017459419136,1,0,19.41948,17.82286,17.09014,0.0745739
300637842093139968,1,0,19.59656,18.41771,17.81066,0.107117
300638941604767744,1,0,20.19352,18.18744,17.14643,0.13728
300639216482674688,1,0,19.02665,17.51267,16.70697,0.09042946
300639766238488576,1,0,19.73348,18.53258,17.7118,0.1375007
300640041116395520,0,1,19.7222,17.88299,16.97177,0.08325355
300641415505930240,1,0,20.22639,18.08201,17.10806,0.08944994
300641965261744128,0,1,18.8118,16.73672,15.72801,0.08978136
300643339651278848,1,0,20.18826,18.49361,17.72537,0.08472473
300644164284999680,1,0,19.27792,17.86336,17.13368,0.1354369
300644714040813568,1,0,18.44324,16.61532,15.80216,0.02094694
300644988918720512,1,0,19.84507,18.00866,17.0724,0.08525094
300645813552441344,1,0,19.51993,18.03283,17.20503,0.08521271
300646088430348288,0,1,17.47757,15.59299,14.65524,0.08395238
300652410622208000,1,0,19.54695,18.27398,17.62822,0.132866
300652685500114944,1,0,19.64302,18.38531,17.75388,0.09229714
300654334767556608,1,0,18.27001,17.3001,17.03496,0.0475889
300655709157091328,1,0,20.00446,18.50869,17.5388,0.1273127
300657083546626048,1,0,19.00025,17.96062,17.55409,0.0944446
300657633302439936,0,1,20.20701,18.55947,17.38347,0.2135797
300657908180346880,1,0,18.62208,17.52353,17.03024,0.0842066
300658183058253824,1,0,21.10996,18.34586,17.44125,0.1509164
300659007691974656,0,1,19.69169,17.61405,16.32845,0.1642064
300660382081509376,1,0,16.46079,15.28997,14.76164,0.04565335
300661206715230208,1,0,19.5843,18.01153,17.09858,0.06543949
300662855982671872,1,0,18.72997,17.56867,17.10099,0.08234423
300663130860578816,0,1,19.03839,17.70902,16.89617,0.1462476
300664780128020480,1,0,18.93197,18.11049,17.30871,0.2274882
300666429395462144,1,0,18.67955,17.68194,17.15787,0.1258022
300666979151276032,1,0,19.45232,17.94412,17.10925,0.1327755
300667528907089920,1,0,20.14343,18.39697,17.66492,0.06914463
300668628418717696,1,0,20.13829,18.3897,17.57271,0.08503481
300671652075694080,0,1,20.48738,19.28214,17.5116,0.2714575
300673576221042688,1,0,18.56466,17.06324,16.37107,0.09133799
300673851098949632,1,0,19.5522,18.31762,17.60993,0.1388665
300674125976856576,1,0,18.55795,17.12424,16.48333,0.03680692
300676599878019072,1,0,19.85236,18.52374,17.61468,0.08107782
300678249145460736,1,0,19.00941,17.65644,16.93884,0.0371546
300678798901274624,1,0,18.44249,17.2478,16.6598,0.07910439
300682922069878784,1,0,20.11894,18.63023,17.72152,0.08000757
300683196947785728,1,0,19.31077,17.55637,16.57409,0.0824445
300683471825692672,0,1,20.36938,18.65027,17.63468,0.09133507
300687594994296832,1,0,19.21652,17.96562,17.28001,0.09523784
300688694505924608,0,1,20.64265,18.88506,17.81911,0.2152341
300691718162900992,1,0,20.05112,18.36806,17.54175,0.0921118
300693642308249600,0,1,19.79609,18.74682,17.83989,0.230787
300695566453598208,1,0,18.63457,17.71005,17.27998,0.08512671
300696391087319040,1,0,19.00148,17.3709,16.55475,0.06685378
300699139866388480,1,0,19.49055,18.27371,17.72016,0.036578
300699414744295424,0,1,18.91992,16.52341,15.56097,0.08420008
300700514255923200,1,0,19.61004,18.8496,17.9125,0.06295811
300702163523364864,0,1,19.71558,18.08716,16.90951,0.1319903
300706836447782912,0,1,20.62302,18.99131,17.5835,0.2178045
300707386203596800,0,1,23.66814,19.6201,17.98042,0.2251949
300709035471038464,1,0,19.26075,18.48262,17.69241,0.2046565
300712883761735680,1,0,18.44286,16.96595,16.24057,0.06938305
300716732052432896,1,0,20.40878,18.19306,17.21685,0.09359263
300718106441967616,1,0,19.09725,17.87998,17.12838,0.08081359
300719755709409280,1,0,18.88311,17.60659,17.11234,0.07320447
300720030587316224,1,0,18.0834,16.90552,16.22799,0.08072105
300723054244292608,1,0,17.58869,15.74022,14.96028,0.06343265
300724703511734272,0,1,19.76032,18.64109,17.72256,0.2205509
300732125215221760,1,0,20.09041,18.47783,17.8038,0.08964708
300732949848942592,0,1,20.12789,18.6341,17.46255,0.1630008
300733499604756480,1,0,20.69765,18.66201,17.52893,0.09335276
300734599116384256,0,1,19.04124,17.08957,16.12949,0.08539967
300734873994291200,1,0,18.50146,16.96781,16.14552,0.08063073
300736248383825920,1,0,18.82775,17.34294,16.56867,0.0858379
300738172529174528,1,0,19.87393,18.61835,17.79905,0.08834895
300738447407081472,0,1,17.20416,15.41804,14.59588,0.02054176
300739821796616192,1,0,19.73161,18.23301,17.56132,0.1427079
300741471064057856,0,1,19.88438,18.16019,17.06568,0.1423475
300742845453592576,1,0,19.68234,18.65343,17.89634,0.03107532
300743670087313408,1,0,18.24056,16.581,15.80104,0.0844093
300745044476848128,1,0,21.48011,18.76341,17.8325,0.0754328
300745869110568960,1,0,17.99701,16.57615,15.93645,0.07496258
300747243500103680,1,0,19.90475,17.907,17.15052,0.09143651
300747793255917568,1,0,20.26578,18.30384,17.28466,0.09850378
300748892767545344,1,0,20.21632,18.22591,17.2158,0.08781833
